Class                               Train      Valid
Psathyrella typhae                     75          8
Laccaria tortilis                      75          8
Lepiota subincarnata                   75          8
Phlebia rufa                           75          8
Lophodermium pinastri                  75          8
Cortinarius foetens                    75          8
Exobasidium vaccinii                   75          8
Clitocybe costata                      75          8
Exidia saccharina                      75          8
Coprinopsis stercorea                  74          8
Agaricus langei                        74          8
Russula illota                         74          8
Lecanora dispersa                      74          8
Bogbodia uda                           74          8
Mitrophora semilibera                  74          8
Lacrymaria pyrotricha                  74          8
Mycena flavescens                      74          8
Gyroporus castaneus                    74          8
Conocybe subpubescens                  74          8
Cladonia macilenta                     74          8
Gelatoporia dichroa                    73          8
Cuphophyllus fornicatus                73          8
Leptosphaeria acuta                    73          8
Puccinia coronata                      73          8
Pluteus pouzarianus                    73          8
Entoloma neglectum                     73          8
Tulasnella violea                      73          8
Panaeolus fimicola                     73          8
Otidea alutacea                        72          8
Mycena chlorantha                      72          8
Cladonia polydactyla                   72          8
Usnea hirta                            72          8
Melanophyllum haematospermum           72          8
Macrolepiota fuliginosa                72          8
Tricholoma album                       72          8
Tricholoma atrosquamosum               72          8
Trichoderma strictipile                72          8
Psathyrella pseudogracilis             72          8
Paralepista gilva                      72          8
Spinellus fusiger                      72          8
Boletus aereus                         71          8
Dacryobolus karstenii                  71          8
Lecidea fuscoatra                      71          8
Clavulina cinerea                      71          8
Neottiella rutilans                    71          8
Phellinus tremulae                     71          8
Marasmius torquescens                  70          8
Inocybe lacera                         70          8
Dissingia leucomelaena                 70          8
Trichoderma citrinum                   70          8
Galerina graminea                      70          8
Russula grisea                         70          8
Dendrothele acerina                    70          8
Verrucaria nigrescens                  70          8
Inocybe stellatospora                  70          8
Rhopographus filicinus                 70          8
Diatrypella favacea                    70          8
Fomitiporia hippophaeicola             69          8
Lepista irina                          69          8
Galerina hybrida                       69          8
Russula integra                        69          8
Parasola plicatilis                    69          8
Arrhenia chlorocyanea                  69          8
Russula sanguinea                      69          8
Marasmiellus vaillantii                69          8
Tricholoma imbricatum                  68          7
Ramalina fraxinea                      68          8
Sarcoscypha coccinea                   68          7
Agaricus cupreobrunneus                68          8
Psathyrella microrhiza                 68          7
Galerina vittiformis                   68          7
Helminthosphaeria clavariarum          68          7
Pholiota tuberculosa                   68          8
Sarcodon squamosus                     68          8
Rhizocarpon lecanorinum                68          7
Microbotryum stellariae                68          7
Hebeloma leucosarx                     68          8
Melastiza cornubiensis                 68          8
Lactarius acerrimus                    68          7
Cortinarius subtortus                  68          8
Sistotrema brinkmannii                 68          7
Coleosporium tussilaginis              67          7
Tyromyces chioneus                     67          7
Bertia moriformis                      67          7
Crepidotus caspari                     67          7
Comatricha nigra                       67          8
Phaeomarasmius erinaceus               67          7
Rubroboletus legaliae                  67          7
Typhula setipes                        67          8
Coprinellus xanthothrix                67          7
Ripartites tricholoma                  67          7
Ceriporiopsis gilvescens               67          8
Hymenoscyphus fructigenus              67          7
Echinosphaeria canescens               67          7
Lecidella scabra                       66          7
Hymenoscyphus serotinus                66          7
Leucocoprinus straminellus             66          7
Naucoria escharioides                  66          7
Xylodon flaviporus                     66          7
Neofuscelia loxodes                    66          7
Polydesmia pruinosa                    66          7
Odoria alborubescens                   65          7
Ramaria fagetorum                      65          7
Limacella guttata                      65          7
Tricholoma populinum                   65          7
Rhizocarpon geographicum               65          7
Agaricus moelleri                      65          7
Aureoboletus gentilis                  64          7
Pluteus petasatus                      64          7
Asterophora lycoperdoides              64          7
Xylodon nespori                        64          7
Entoloma rhodocylix                    64          7
Galerina mniophila                     64          7
Clathrus archeri                       64          7
Russula laccata                        64          7
Cortinarius cliduchus                  63          7
Gloeoporus pannocinctus                63          7
Phaeoclavulina abietina                63          7
Hygrophoropsis rufa                    63          7
Pholiota alnicola                      63          7
Russula pseudointegra                  63          7
Cortinarius croceocoeruleus            63          7
Boletus pinophilus                     63          7
Cortinarius turgidus                   63          7
Hydnum ellipsosporum                   63          7
Russula caerulea                       62          7
Agrocybe rivulosa                      62          7
Entoloma pleopodium                    62          7
Pluteus leoninus                       62          7
Lactarius rubrocinctus                 62          7
Neodasyscypha cerina                   62          7
Cortinarius vulpinus                   61          7
Amylostereum chailletii                61          7
Chaetosphaerella phaeostroma           61          7
Entoloma exile                         61          7
Mycena belliae                         61          7
Mycena pterigena                       61          7
Arcyria denudata                       61          7
Hygrocybe ovina                        61          7
Parasola misera                        61          7
Tricholoma vaccinum                    61          7
Phellodon confluens                    60          7
Ochrolechia frigida                    60          7
Helvella macropus                      60          7
Melampsora populnea                    60          7
Flavoparmelia caperata                 60          7
Puccinia sessilis                      60          7
Stropharia pseudocyanea                60          7
Pseudoclitocybe expallens              60          7
Leucocybe candicans                    59          7
Hymenoscyphus calyculus                59          6
Haematomma ochroleucum                 59          6
Hypomyces microspermus                 59          7
Cumminsiella mirabilissima             59          6
Ceriporia purpurea                     59          6
Caloplaca decipiens                    59          6
Psathyrella corrugis                   59          6
Buchwaldoboletus lignicola             59          6
Hygrocybe substrangulata               59          7
Lactarius lilacinus                    59          6
Hygrocybe calciphila                   59          7
Ramaria pallida                        59          7
Bolbitius coprophilus                  59          6
Amylostereum laevigatum                59          7
Bisporella pallescens                  59          6
Candelariella aurella                  59          7
Aleurodiscus amorphus                  59          6
Gloiothele lactescens                  59          7
Ceriporiopsis resinascens              59          6
Byssocorticium atrovirens              59          7
Volvariella surrecta                   59          6
Pucciniastrum areolatum                58          6
Aureoboletus projectellus              58          6
Agaricus subperonatus                  58          6
Entoloma sordidulum                    58          6
Ciboria rufofusca                      58          6
Volvariella murinella                  58          6
Geastrum schmidelii                    58          6
Phanerochaete sordida                  58          6
Hemileccinum impolitum                 58          6
Cortinarius emollitoides               58          6
Physconia enteroxantha                 57          6
Phallus hadriani                       57          6
Cerrena unicolor                       57          6
Melanomma pulvis-pyrius                57          6
Cetraria muricata                      57          6
Cortinarius vernus                     57          6
Rhizina undulata                       57          6
Geastrum striatum                      57          6
Pholiota highlandensis                 57          6
Cystodermella cinnabarina              57          6
Hebeloma crustuliniforme               56          6
Eriopezia caesia                       56          6
Diaporthopsis urticae                  56          6
Hemitrichia clavata                    55          6
Sawadaea bicornis                      55          6
Vuilleminia cystidiata                 55          6
Taphrina pruni                         55          6
Lactarius trivialis                    55          6
Mniaecia jungermanniae                 55          6
Loweomyces wynneae                     55          6
Hysterium acuminatum                   54          6
Tricholoma frondosae                   54          6
Lanzia echinophila                     54          6
Galerina jaapii                        54          6
Parmelia ernstiae                      54          6
Panaeolus olivaceus                    54          6
Clitocella popinalis                   54          6
Hydnum umbilicatum                     54          6
Agaricus brunneolus                    54          6
Hydnellum aurantiacum                  54          6
Peniophora cinerea                     54          6
Russula sororia                        54          6
Hypoxylon rubiginosum                  54          6
Russula acrifolia                      54          6
Brevicellicium olivascens              54          6
Trochila ilicina                       53          6
Naucoria bohemica                      53          6
Hebeloma theobrominum                  53          6
Platygloea disciformis                 53          6
Clavaria tenuipes                      53          6
Hapalopilus croceus                    53          6
Puccinia violae                        53          6
Mycena capillaripes                    53          6
Lactarius serifluus                    53          6
Microglossum olivaceum                 53          6
Cyathus olla                           53          6
Lentinus tigrinus                      52          6
Phragmidium rubi-idaei                 52          6
Mycena clavularis                      52          6
Russula subrubens                      52          6
Lasiosphaeria ovina                    52          6
Peltigera neckeri                      52          6
Hebeloma sacchariolens                 52          6
Clavulinopsis laeticolor               51          6
Didymium squamulosum                   51          6
Hygrocybe mucronella                   51          6
Pluteus semibulbosus                   51          6
Cortinarius talus                      51          6
Peziza fimeti                          51          6
Hemimycena cucullata                   51          6
Mucilago crustacea                     51          6
Eutypella quaternata                   51          6
Cortinarius limonius                   51          6
Hygrocybe conicoides                   51          6
Coprinellus flocculosus                51          6
Baeomyces rufus                        51          6
Mycena megaspora                       51          6
Cortinarius bergeronii                 50          5
Eutypella sorbi                        50          5
Lachnellula subtilissima               50          6
Arthonia radiata                       50          6
Russula melliolens                     50          5
Sarcodon imbricatus                    50          6
Lecanora sulphurea                     50          5
Nodulisporium cecidiogenes             50          6
Galerina atkinsoniana                  50          5
Hypomyces chrysospermus                50          5
Melanoleuca verrucipes                 50          6
Entocybe nitida                        50          6
Inocybe cincinnata                     50          6
Ceraceomyces serpens                   50          5
Physcia dubia                          50          5
Tuber aestivum                         50          6
Patellaria atrata                      50          6
Mycena silvae-nigrae                   50          5
Mycena erubescens                      50          6
Amanita franchetii                     50          6
Peziza badia                           50          6
Puccinia pulverulenta                  50          5
Hydnellum lepidum                      50          6
Phaeohelotium fagineum                 50          6
Cortinarius luhmannii                  50          5
Mycena renati                          49          5
Puccinia porri                         49          5
Cortinarius caninus                    49          5
Arrhenia gerardiana                    49          5
Tuckermannopsis chlorophylla           49          5
Clitocybe agrestis                     49          5
Leccinellum crocipodium                49          5
Tricholoma aurantium                   49          5
Sagaranella tylicolor                  49          5
Ochropsora ariae                       49          5
Tricholoma focale                      48          5
Xanthoriicola physciae                 48          5
Russula viscida                        48          5
Holwaya mucida                         48          5
Puccinia phragmitis                    48          5
Peniophora rufomarginata               48          5
Phylloporus pelletieri                 48          5
Volvariella hypopithys                 48          5
Stemonitis axifera                     48          5
Xenasmatella vaga                      48          5
Xanthoria candelaria                   48          5
Coprinopsis ephemeroides               48          5
Entocybe turbida                       48          5
Deconica crobula                       48          5
Hohenbuehelia fluxilis                 48          5
Lactarius scoticus                     48          5
Panaeolus cinctulus                    47          5
Russula roseoaurantia                  47          5
Crepidotus epibryus                    47          5
Porpolomopsis calyptriformis           47          5
Physcia aipolia                        47          5
Stereocaulon saxatile                  47          5
Cortinarius uliginosus                 47          5
Leocarpus fragilis                     47          5
Cortinarius olearioides                47          5
Geoglossum atropurpureum               47          5
Cantharellus melanoxeros               47          5
Flammulaster granulosus                47          5
Hygrocybe ingrata                      47          5
Russula cuprea                         47          5
Junghuhnia nitida                      47          5
Hyphodontia arguta                     47          5
Physarum album                         47          5
Clitopilus caelatus                    46          5
Mucronella flava                       46          5
Tephrocybe rancida                     46          5
Trapelia placodioides                  46          5
Lactarius lignyotus                    46          5
Phloeomana minutula                    46          5
Gomphus clavatus                       46          5
Pluteus primus                         46          5
Urocystis anemones                     46          5
Suillus flavidus                       46          5
Cosmospora arxii                       46          5
Lactarius evosmus                      46          5
Corticium roseum                       46          5
Cortinarius saturninus                 46          5
Typhula contorta                       45          5
Sidera vulgaris                        45          5
Aurantiporus fissilis                  45          5
Clitocybe phaeophthalma                45          5
Phellinus laevigatus                   45          5
Cortinarius armillatus                 45          5
Cortinarius aprinus                    45          5
Dichomitus campestris                  45          5
Tulostoma fimbriatum                   45          5
Phragmidium tuberculatum               45          5
Brefeldia maxima                       45          5
Cyathicula cyathoidea                  45          5
Circinaria caesiocinerea               45          5
Colpoma quercinum                      45          5
Hebeloma laterinum                     44          5
Lactarius aspideus                     44          5
Gymnopus erythropus                    44          5
Mycetinis querceus                     44          5
Entoloma incarnatofuscescens           44          5
Simocybe sumptuosa                     44          5
Pluteus cinereofuscus                  44          5
Cortinarius biformis                   44          5
Physconia grisea                       44          5
Gloiothele citrina                     44          5
Lepraria incana                        44          5
Hyphodontia alutaria                   44          5
Myochromella boudieri                  44          5
Uromyces rumicis                       44          5
Botryobasidium subcoronatum            43          5
Clavulinopsis umbrinella               43          5
Russula aurea                          43          5
Caloplaca flavescens                   43          5
Lepiota lilacea                        43          5
Heterosphaeria patella                 43          5
Metatrichia vesparia                   43          5
Cortinarius olivaceofuscus             43          5
Russula atrorubens                     43          5
Deconica inquilina                     43          5
Cortinarius umbrinolens                43          5
Pithya cupressina                      43          5
Gomphidius maculatus                   43          5
Amyloporia sinuosa                     43          5
Lycoperdon molle                       43          5
Gymnopus fagiphilus                    43          5
Typhula erythropus                     43          5
Pluteus ephebeus                       42          5
Russula brunneoviolacea                42          5
Coltricia confluens                    42          5
Trichia scabra                         42          5
Ramariopsis kunzei                     42          5
Inocybe corydalina                     42          5
Phragmidium mucronatum                 42          5
Antrodiella mentschulensis             42          5
Cladonia merochlorophaea               42          5
Neoboletus xanthopus                   42          5
Calyptella capula                      42          5
Cortinarius purpureus                  42          5
Agrocybe arvalis                       42          5
Stropharia inuncta                     42          5
Microglossum griseoviride              42          5
Mycena juniperina                      42          5
Trichopeziza subsulphurea              42          5
Pholiota astragalina                   41          4
Guepinia helvelloides                  41          5
Poronia punctata                       41          4
Tricholoma pessundatum                 41          5
Inocybe appendiculata                  41          5
Leratiomyces ceres                     41          4
Russula faustiana                      41          4
Stemonitis fusca                       41          5
Parmelinopsis afrorevoluta             41          5
Bulbillomyces farinosus                41          5
Russula seperina                       41          5
Butyriboletus fuscoroseus              41          5
Entyloma ficariae                      41          5
Simocybe centunculus                   41          4
Tricholoma basirubens                  41          4
Arrhenia obscurata                     41          5
Dialonectria episphaeria               41          4
Claviceps purpurea                     41          5
Ceriporia reticulata                   41          4
Butyriboletus fechtneri                41          4
Godronia ribis                         41          4
Subulicystidium longisporum            41          5
Durella connivens                      41          5
Lachnellula occidentalis               41          5
Gymnosporangium cornutum               41          5
Lyophyllum paelochroum                 41          4
Monilinia fructigena                   41          4
Cortinarius stillatitius               41          4
Punctelia jeckeri                      41          5
Cortinarius saniosus                   41          4
Marasmius limosus                      41          4
Mycena clavicularis                    40          4
Gymnopilus picreus                     40          4
Arrhenia lobata                        40          4
Trametes suaveolens                    40          4
Verpa conica                           40          4
Hypocenomyce scalaris                  40          4
Russula luteotacta                     40          4
Usnea subfloridana                     40          4
Lepiota brunneoincarnata               40          4
Xylaria oxyacanthae                    40          4
Porodaedalea pini                      40          4
Tricholoma arvernense                  39          4
Cortinarius acutus                     39          4
Mycena vulgaris                        39          4
Ruzenia spermoides                     39          4
Peziza arvernensis                     39          4
Oligoporus wakefieldiae                39          4
Hypomyces papulasporae                 39          4
Tricholoma aestuans                    39          4
Protounguicularia transiens            39          4
Seifertia azaleae                      39          4
Granulobasidium vellereum              39          4
Panaeolus subfirmus                    39          4
Helvella solitaria                     39          4
Picipes melanopus                      39          4
Agaricus crocodilinus                  39          4
Tuber borchii                          39          4
Leptosporomyces fuscostratus           39          4
Hemimycena delectabilis                39          4
Phylloporia ribis                      39          4
Galerina uncialis                      38          4
Cortinarius camphoratus                38          4
Russula curtipes                       38          4
Epichloe typhina                       38          4
Hygrophorus mesotephrus                38          4
Stereocaulon condensatum               38          4
Leccinum melaneum                      38          4
Craterium minutum                      38          4
Hydnellum caeruleum                    38          4
Hypholoma subericaeum                  38          4
Cladonia pyxidata                      38          4
Flammulaster muricatus                 38          4
Blumeria graminis                      38          4
Dacrymyces capitatus                   38          4
Tricholoma albobrunneum                38          4
Hohenbuehelia auriscalpium             38          4
Xanthoparmelia digitiformis            38          4
Hydnellum cumulatum                    37          4
Leratiomyces percevalii                37          4
Entoloma bloxamii                      37          4
Rimbachia arachnoidea                  37          4
Entoloma asprellum                     37          4
Trechispora hymenocystis               37          4
Pluteus hispidulus                     37          4
Entoloma araneosum                     37          4
Vouauxiella lichenicola                37          4
Onygena corvina                        37          4
Mycena aurantiomarginata               37          4
Amanita lividopallescens               37          4
Cortinarius mucosus                    37          4
Xylodon brevisetus                     37          4
Mycoacia fuscoatra                     36          4
Homophron cernuum                      36          4
Merismodes fasciculata                 36          4
Physcia stellaris                      36          4
Acrospermum compressum                 36          4
Cladonia rangiferina                   36          4
Naucoria salicis                       36          4
Cortinarius emollitus                  36          4
Cystodermella granulosa                36          4
Ramaria krieglsteineri                 36          4
Hymenoscyphus fraxineus                36          4
Entoloma atrocoeruleum                 36          4
Exobasidium juelianum                  36          4
Cortinarius xantho-ochraceus           36          4
Mycenella trachyspora                  36          4
Coniophora arida                       35          4
Cystolepiota bucknallii                35          4
Agaricus subfloccosus                  35          4
Entoloma mougeotii                     35          4
Entoloma vernum                        35          4
Xerocomellus ripariellus               35          4
Russula pelargonia                     35          4
Mycena luteovariegata                  35          4
Ascocoryne albida                      35          4
Lactifluus bertillonii                 35          4
Galerina calyptrata                    35          4
Pertusaria hymenea                     34          4
Umbilicaria polyphylla                 34          4
Hysterium pulicare                     34          4
Strobilurus stephanocystis             34          4
Cortinarius decipiens                  34          4
Puccinia circaeae                      34          4
Agaricus bohusii                       34          4
Puccinia recondita                     34          4
Russula maculata                       34          4
Agaricus lanipes                       34          4
Hohenbuehelia cyphelliformis           34          4
Syzygites megalocarpus                 34          4
Lasiosphaeris hirsuta                  34          4
Tricholoma psammopus                   34          4
Crepidotus calolepis                   34          4
Cheilymenia fimicola                   34          4
Crepidotus autochthonus                33          4
Cortinarius rhizophorus                33          4
Melanogaster ambiguus                  33          4
Agaricus bisporus                      33          4
Sarcosphaera coronaria                 33          4
Ramalina siliquosa                     33          4
Ramaria fumigata                       33          4
Psathyrella ammophila                  33          4
Mycena rosella                         33          4
Entoloma euchroum                      33          4
Hypholoma myosotis                     33          4
Puccinia lapsanae                      33          4
Homophron spadiceum                    33          4
Geastrum melanocephalum                33          4
Russula farinipes                      33          4
Cortinarius traganus                   33          4
Rutstroemia calopus                    32          3
Lepiota pseudolilacea                  32          4
Tricholoma stans                       32          4
Coprinopsis insignis                   32          4
Meottomyces dissimulans                32          3
Lindtneria panphyliensis               32          3
Marasmius curreyi                      32          3
Gymnopus fuscopurpureus                32          3
Lasiobelonium variegatum               32          3
Lactarius azonites                     32          3
Hemimycena hirsuta                     32          3
Physconia distorta                     32          3
Phloeomana clavata                     32          3
Gymnopus foetidus                      32          4
Cortinarius acetosus                   32          3
Hyphodontia pallidula                  32          4
Laetisaria fuciformis                  32          4
Agrocybe elatella                      32          4
Coprinellus radians                    32          4
Hygrophorus persoonii                  32          3
Coprinopsis canoceps                   32          4
Russula laeta                          32          3
Infundibulicybe trulliformis           32          3
Clitocybe diatreta                     32          4
Flavoscypha phlebophora                32          3
Elaphomyces granulatus                 32          3
Cortinarius humolens                   32          4
Deconica merdaria                      32          3
Echinoderma jacobi                     32          3
Lactarius porninsis                    32          4
Leucogyrophana mollusca                32          4
Chaenotheca ferruginea                 32          3
Cortinarius multiformis                32          4
Panaeolus reticulatus                  32          3
Fuscoporia contigua                    32          3
Lactarius obscuratus                   32          4
Vulpicida pinastri                     32          3
Pterula multifida                      32          3
Symphytocarpus amaurochaetoides         32          4
Calospora undulata                     32          3
Flagelloscypha minutissima             32          3
Triphragmium ulmariae                  32          3
Entoloma sepium                        32          3
Amphinema byssoides                    31          3
Stemonitopsis typhina                  31          3
Coprinopsis kubickae                   31          3
Coprinopsis macrocephala               31          3
Geastrum rufescens                     31          3
Mycenella salicina                     31          3
Resupinatus poriaeformis               31          3
Verpa bohemica                         31          3
Gloeocystidiellum porosum              31          3
Loreleia marchantiae                   31          3
Psathyrella fusca                      31          3
Thelephora anthocephala                31          3
Coprinopsis candidata                  31          3
Marasmius cohaerens                    31          3
Botryobasidium vagum                   31          3
Simocybe haustellaris                  31          3
Coprinellus angulatus                  31          3
Rosellinia corticium                   31          3
Protocrea pallida                      31          3
Steccherinum oreophilum                31          3
Oxyporus obducens                      30          3
Leucocoprinus brebissonii              30          3
Tricholomopsis decora                  30          3
Arrhenia acerosa                       30          3
Entoloma papillatum                    30          3
Neofavolus suavissimus                 30          3
Lycogala flavofuscum                   30          3
Psilocybe fimetaria                    30          3
Lactarius albocarneus                  30          3
Puccinia hieracii                      30          3
Trechispora stevensonii                30          3
Rhodocollybia butyracea                30          3
Lachnella villosa                      30          3
Mycoaciella bispora                    30          3
Puccinia caricina                      30          3
Eutypa maura                           30          3
Hymenoscyphus scutula                  30          3
Inocybe griseolilacina                 30          3
Hygrocybe citrinovirens                30          3
Eutypa lata                            30          3
Galerina ampullaceocystis              30          3
Pholiota scamba                        30          3
Helvella fibrosa                       30          3
Entoloma lanuginosipes                 30          3
Cortinarius quercoconicus              29          3
Peziza michelii                        29          3
Entoloma formosum                      29          3
Peltigera rufescens                    29          3
Sphaeridium candidulum                 29          3
Typhula spathulata                     29          3
Flammulaster limulatus                 29          3
Bisporella subpallida                  29          3
Eutypa flavovirens                     29          3
Parmeliopsis ambigua                   29          3
Resinomycena saccharifera              29          3
Ossicaulis lignatilis                  29          3
Stereocaulon vesuvianum                29          3
Psathyrella pygmaea                    29          3
Caloscypha fulgens                     29          3
Conocybe blattaria                     29          3
Henningsomyces candidus                29          3
Geoglossum starbaeckii                 29          3
Echinoderma echinaceum                 29          3
Podosphaera aphanis                    28          3
Scutellinia hirta                      28          3
Hydnellum ferrugineum                  28          3
Heteroradulum deglubens                28          3
Conocybe velata                        28          3
Clavaria fragilis                      28          3
Cudonia circinans                      28          3
Pseudoclitopilus rhodoleucus           28          3
Peniophora pini                        28          3
Collema tenax                          28          3
Roridomyces roridus                    28          3
Geastrum coronatum                     28          3
Trichia crateriformis                  28          3
Hygrocybe intermedia                   28          3
Brunneoporus kuzyanus                  28          3
Connopus acervatus                     28          3
Lycoperdon mammiforme                  28          3
Psathyrella obtusata                   28          3
Russula insignis                       28          3
Arcyria cinerea                        28          3
Clavaria zollingeri                    28          3
Coprinopsis cinerea                    28          3
Coprinopsis urticicola                 28          3
Thelephora caryophyllea                28          3
Calyptella campanula                   28          3
Leccinum schistophilum                 28          3
Pulvinula convexella                   28          3
Lemalis aurea                          28          3
Morchella conica                       28          3
Erysiphe heraclei                      28          3
